id,order,gate_a,status,started,completed,needs_gpu,est,title,covers,why,acceptance,files,evidence,notes
V12-10,11,yes,partial,2026-09-10,2026-09-10,no,1d,A unit conversion contract,REV-A11,"In no plan anywhere - found by the reconciliation sweep, not carried from one. An approved conversion must be explicit and an unsupported pairing must be refused, otherwise a number changes meaning silently between the store and the sentence. BUG-257 was one instance: a unit sat in the graph and never reached the answer.",A11: compatible units convert with the conversion named in the evidence record; unknown or incompatible pairings are rejected rather than assumed.,orchestrator/services/units.py; orchestrator/agents/analytics_agent.py,"orchestrator/services/units.py + 32 tests. Built AFTER measuring the live graph rather than from the review's wording, which changed what it needed to be: nothing in this pipeline converted units at all, so the risk was never a bad conversion - it was AGGREGATING across sensors that disagree. Six concrete Brick classes carry more than one unit on bldg1 (CAVEAT-513), including Occupancy_Count_Sensor with NUM and PERCENT and Air_Quality_Sensor with ppm, ppb and ug/m3. The contract refuses by default: a conversion happens only where declared, and returns the factor it applied so the evidence record can state it (A11's 'explicit'). Unknown units are not assumed compatible with anything; an empty unit set is not permission to aggregate; and same-kind pairs with no declared factor are refused rather than inferred (dB to dB(A) is a filter, not a factor). FOUND WHILE MEASURING: BUG-512, qudt_unit_display reduced every compound literal to its denominator - 'L/s' displayed as 's' on 13 live flow points. A unit contract reading mangled units would have been worthless, so that was fixed first. A self-consistency test then caught a dead key in my own map (dBA, which the normaliser spells dB(A)) - the contract would have reported a unit it understands as unknown. WHY PARTIAL: the module is not yet CALLED by analytics_agent. Wiring it is the aggregation contract in V12-09, and doing it here would duplicate that row. A module nothing calls is the V6-T10 failure, so this is recorded as partial rather than done.",
V12-11,12,yes,todo,,,partial,1d,Shared labels and context switches,REV-A13 REV-A14,"Two rooms can share a label across floors or buildings, and a follow-up that changes room must clear the inherited state rather than answer about the old one. BUG-118 was one instance of this class ('floor 2' matched every floor whose name contained the digit); the class itself has no test.","A13: an ambiguous label is resolved from authorised context or clarified, never silently cross-selected across buildings. A14: incompatible inherited state is cleared on a context switch and the co-reference rewrite cannot carry a stale referent.",orchestrator/services/referent_resolver.py; orchestrator/agents/dialogue_agent.py,,
V12-17,13,yes,todo,,,partial,1.5d,"Policy applies before disclosure, on every output channel and to more than one identity",REV-B11,"B11. A policy applied to the text but not to the dossier or the chart is not applied. BUG-195 was exactly this: the sparql lane could answer a reading question with NO PDP chokepoint. And BUG-191's lesson governs the grader - it counted the '2' inside `bldg2` as a sensor reading, so refusals scored PASS and a run reported a spurious 39/39.","An unauthorised room, a restricted occupancy detail and a derived sensitive output are each refused before disclosure, checked in text, chart, dossier AND export, with identities whose permitted scopes differ. The grader must not count a digit inside a building id as a reading.",orchestrator/services/policy/; scripts/privacy_traps.py,,
V12-25,14,yes,todo,,,partial,3d,"ARBITER: documented, tested end to end, and provably ranking the way it says",REV-T08 REV-B07 REV-B08 REV-B09 REV-B10 BUG-184,Review T08. Zero tests exercise _deliberate_node end to end while V4-T26 is marked done; ONTOSAGE.md never mentions ARBITER or the dossier; build_plan_trace emitted a constant six-step list; two gating env vars exist in no Settings and no .env. BUG-184's residual: one query still compiles two ways. A ranking whose eligibility rules are implicit is one nobody can check.,"An e2e test fails when any of those five findings is reverted; ONTOSAGE.md describes the lane as what it is; the criterion registry and eligibility rules are explicit. B07: removing a required criterion applies the eligibility or partial-ranking policy and missing evidence is NOT rewarded - assert WHICH candidate is eligible and why, not that the score is numeric. B08: small weight changes and exact ties follow the declared policy with the limitation visible. B09: future conditions with only observations returns a limitation, not invented certainty. B10: exhausted clarification narrows or abstains rather than guessing. Compare plan_fingerprint across runs; plan_hash is provenance. Do NOT rename the package to settle a documentation error.",orchestrator/services/deliberation/; ONTOSAGE.md; tests/test_deliberation_e2e.py,,
V12-29,15,yes,todo,,,yes,2d,"A held-out evaluation set: drawn, sealed, run once, and Gate A decided",V11-9 REV-T09,"Review T09, and the uncomfortable finding: all 50 probe cases have been used to tune the implementation, so by the review's own definition NONE of them is held-out evidence. No amount of adding cases to that set fixes it.","A sealed set drawn from the question corpus with a written drawing procedure, and a test that fails if a sealed question's text appears in any fixture, prompt or probe case. It is NOT consulted while fixing anything. Then run once: held-out results, repeated runs, a limitation register, first-pass and retry reported separately, and an explicit Gate A pass or fail. No coverage number is published from a run that has not passed V12-01.",tests/heldout/; scripts/draw_heldout.py; scripts/outputs/V12_GATE_A.md,,
V12-12,16,no,done,2026-09-10,2026-09-10,no,0.5d,"A lane function returns what it declares, and present data is recognised as present",REV-A01 REV-A02,"A01 is not hypothetical here. BUG-476 was `_standardize_results` with NO return statement, so every planned query silently lost its SPARQL results and the pipeline treated None as an empty answer. A02 is BUG-152's shape: a declared sensor with a working reference and rows was answered with a canned denial.","A01: with two matching sensors the list function returns the exact declared identifiers and its declared type; an unexpected None fails loudly INTERNALLY rather than becoming an empty answer. A02: presence and data are recognised, with no claim that installation is required.",orchestrator/agents/sparql_agent.py; tests/test_lane_return_contracts.py,"A01 was ALREADY covered - test_no_annotated_function_can_return_none_by_accident existed from BUG-476's fix - so the work was the guard's own accuracy and scope, not a new framework. Its _falls_off_the_end was wrong in both directions: it treated ANY trailing `if` as terminating, so a function ending `if hit: return hit` with no else - the BUG-476 shape exactly - was invisible to the check written to catch it; and its Try arm asked whether ANY tail returned when one returning handler does not stop another falling through. Replaced with a recursive _terminates() covering If (needs a non-empty else, both branches terminating), Try (all handlers plus a returning finally), With, Match and While (only `while True` with no break). Six unit tests pin the ANALYSER, because the sweep only reports a number and neither error was visible from that number. Scope widened from orchestrator/ alone to orchestrator/ + shared/ - 3,920 lines including the config every service reads. Result: 1,642 + 67 annotated functions, shared/ clean, and ONE real offender the old guard could not see (BUG-511, DocumentBuilder.render, latent - unreachable only because of a guard forty lines away). A02 delivered as tests/test_lane_return_contracts.py, 13 tests: the readings and the declared sensor are found IN THE SHAPE THE LANES PRODUCE (the BUG-477 trap), the store reference survives, and with rows present the empty-result branch is unreachable so none of BUG-475's eight claims can be produced. The existing coverage of that half was a single source-text assertion that would have passed even if the recogniser stopped finding rows. A cross-check keeps the two forbidden-claim lists from drifting apart.",
V12-13,17,no,todo,,,no,1.5d,"Adapter parity, and a version/snapshot policy",REV-A15 REV-A16 OPTIONAL-074,"TODO-143 ran the Timescale and Cassandra adapters once, against real servers. The review is explicit that a mock alone does not establish adapter compatibility. And a graph revision that changes between discovery and retrieval produces a mixed result nobody can explain.","A15: equivalent seeded data returns equivalent semantic results AND equivalent evidence through each supported wide/narrow adapter, against real servers. A16: the defined snapshot policy prevents an unexplained mixed result when a mapping changes mid-turn.",orchestrator/services/adapters/; scripts/seed_timeseries_backends.py; docker-compose.timeseries-backends.yml,,
V12-14,18,no,done,2026-09-10,2026-09-10,no,0.5d,Audit every reserved bus key against what actually writes it,BUG-241 BUG-509,"BUG-241 left this owed in its own words: the whole reserved-key list should be checked against the code that writes it, not spot-fixed twice. It HAS already been spot-fixed twice - `uuids` was documented as a bus key that nothing wrote, and the spatial lane wrote another lane's key, mislabelling every geometry answer in the evidence record.","An AST audit lists every documented reserved key with the code that writes and reads it; zero documented keys have no writer; the audit runs as a test, not as a one-off script.",tests/test_reserved_keys_have_writers.py; .claude/rules/agent-patterns.md,"tests/test_reserved_keys_have_writers.py - an ast audit over orchestrator/ for every string key assigned into intermediate_results, asserting zero DOCUMENTED reserved keys have no writer. It runs as a test, not a script, per the acceptance. It found a real orphan on its first execution: `analytics_output`, documented in both agent-patterns.md and CLAUDE.md, written by nothing - the real key is analytics_result. Tracing that led to BUG-510: _TRACE_STAGE_MARKERS keyed three of its five stages off sparql_results / sql_data / analytics_output, none of which exist, so the plan trace could never record that the data pipeline had run. Two of those three names are the SAME strings agent-patterns.md corrected on 2026-08-22 - the prose was fixed and this consumer was not. BUG-509 fixed: PlannerAgent._publish_context_to_bus puts the planner's nine reserved-key results on the bus at BOTH exit paths, without clobbering a real lane's key and without publishing empties or planner-internal locals (uuids, storage_map - the `uuids` mistake, not repeated). report_result, anomaly_result and planner_result added to the per-turn stale-clear list. OWED: report/export stay OUT of the verifier's _ASSESSABLE_INTENTS until one live report turn shows the bus is populated - no model available this session. That is what unblocks R1 for the report lane.","BUG-509 (P1) landed here 2026-09-10: the planner writes every result into a local context that is never merged onto the bus, so a planner-routed turn is invisible to the verifier, the evidence record and the publication gate. This row is no longer an audit - it has a known defect to fix, and V12-03's R1 closure for the report lane depends on it."
V12-15,19,no,todo,,,no,1d,No named-graph subject is shadowed by a stale default-graph copy,BUG-194,"BUG-194 was a P1: a GUI policy edit wrote the file correctly, replaced the named graph correctly and reported success - and the reader returned the OLD value, because a stale copy of the same subject sat in GraphDB's DEFAULT graph. The row closes with 'other subjects may be shadowed the same way - not yet verified'. BUG-134's and BUG-135's residuals are two more instances of the same mechanism, cosmetic only because of what they happened to shadow.","A sweep compares every subject in a named graph against the default graph and reports the shadowed set; zero survive, or each survivor is justified. A test asserts the reader prefers the named graph. The BUG-194 edit path is re-asked and returns the new value.",orchestrator/services/ontology_manager.py; scripts/audit_default_graph_shadowing.py,,
V12-16,20,no,todo,,,no,1d,The cache cannot outlive the authorisation that produced it,REV-B12 BUG-498,"resp_cache holds an answer for an hour. If it can be served to an identity whose permitted scope differs from the one that filled it, the permission check is decorative. B12 applies precisely because a cache exists.","B12: a cached answer cannot bypass the current authorisation or provenance policy; the cache key carries the authorised scope, and a test proves a narrower identity misses rather than hits.",orchestrator/services/redis_manager.py; orchestrator/main.py,,
V12-18,21,no,todo,,,partial,1.5d,"Document relevance, and the authority when two documents disagree",BUG-218 TODO-082 REV-B13,"BUG-218 is PARTIALLY_FIXED at 70.4% precision, measured on this repository: one incidental shared word still lets an unrelated document answer. TODO-082 was deferred as conditional on evidence of wrong-chunk retrieval; B13 makes the condition concrete instead of waiting for it to happen in front of an audience.",B13: a document sharing keywords but irrelevant is rejected; a document contradicting a current fact surfaces the conflict under a stated authority policy rather than silently winning.,orchestrator/agents/capability_agent.py; orchestrator/services/grounding_guard.py,,
V12-19,22,no,todo,,,no,1.5d,"Failure, timeout and partial completion become typed outcomes",CAVEAT-415 REV-B15 CAVEAT-500 CAVEAT-502 BUG-510,CAVEAT-415 is PARTIALLY_FIXED: 62 failures in six hours logged an empty message and hid an 11% silent quality drop. The review's rule is that a retry which succeeds is still a first-pass failure and must stay separately visible.,"B15: an injected lane timeout, backend outage and delayed completion each produce an explicit partial or failure outcome; first-pass and retry status remain separately reportable everywhere a number is published.",orchestrator/workflow/_graph.py; orchestrator/services/observability.py; scripts/regression_probe.py,,"BUG-510's code fix landed 2026-09-10 but its LIVE check is owed: _TRACE_STAGE_MARKERS now names the real keys, and only a real turn shows the plan_trace actually listing sparql/sql/analytics as having run. This row already exercises how a turn's execution is recorded, and needs live turns anyway, so the check rides with it rather than inventing a row for one assertion."
V12-20,23,no,todo,,,no,1d,"ECA fixtures, and a rule that states its scope",BUG-482 REV-B03,"BUG-482: a concept-triggered rule evaluates ONE point of however many carry the class and reads as if it covers them all - temperature_reading currently binds to the outside weather feed. The engine now logs which point it chose, which is honesty about the defect rather than the fix.","B03: a positive fixture matches and a negative fixture does not, with NO actuation required or implied - the review is explicit that a rule firing in a test should mean its condition matched, not that equipment moved. The engine stays notify-only for Gate A. A rule either evaluates every matching point or must declare a scope.",orchestrator/services/rules_engine.py; tests/test_eca_fixtures.py,,
V12-21,24,no,todo,,,yes,1.5d,"The BuildingLexicon into routing, one rule at a time, plus BUG-489",V11-6 W2-1 TODO-463 BUG-489 REV-B01 BUG-505 TODO-490,"The last real building-shaped vocabulary. building_lexicon.py is built, has 25 offline tests over three room grammars and is populated at boot - the live building logs 429 measurand words, 31 space nouns, 5 identifier shapes - and routing consumes NONE of it. BUG-489 is the same claim-authority question the review raises: a held register matched on a generic word outranks an absent one matched on a specific phrase.","Consume ADDITIVELY - generic OR lexicon, never lexicon alone, because 'temperature' and 'last week' are domain English and a building whose graph is still loading must not lose them. One rule swapped, probe, keep or revert; a batch swap cannot tell you which rule traded which question. B01: two rules matching the same request are resolved by documented priority and the route trace records why. Define ambiguous-name behaviour first and test with another building's labels.",orchestrator/services/routing_contract.py; orchestrator/services/building_lexicon.py; tests/test_routing_contract.py,,
V12-22,25,no,todo,,,yes,1d,Generate the SPARQL few-shot from the live graph,V11-7 W2-5,"Six prompt sites teach Room_5.01 and CO2_Level_Sensor_5.08. On any other building the model is shown examples that do not exist, and the project's own vocabulary (ontosage:, hbco:) fails its own pre-flight. Unblocked by the Phase 0 inspection: three lanes generate queries and all three validate.",A prompt dump on bldg3 contains only bldg3 IRIs; a generated query using ontosage: passes validation; execution privileges are NOT expanded while the building-specific examples are removed.,orchestrator/agents/sparql_agent.py,,
V12-23,26,no,todo,,,partial,2d,The routing repairs the fix tracker still holds open,BUG-395 CAVEAT-396 BUG-231 BUG-354 BUG-504,"Four rows whose code half landed and whose behaviour half did not. BUG-395: the routing of terse noun-phrase questions to capability REMAINS OPEN and needs a routing_contract rule with the pinned precedence test updated in the SAME commit. CAVEAT-396: the motivating questions ('is there a voltage fluctuation', 'any radon anomalies') route to general_knowledge and capability, so neither ever reaches the detector and the fix is unverifiable. BUG-231's measured remainder and BUG-354's residual are the same shape.","Rules authored and unit-tested offline first, one per target lane. Then probe green before and after EACH rule - do not batch-add. BUG-431's first fix corrected 'how many CO2 sensors' and began answering it with the building-wide total; that is what a batch swap hides.",orchestrator/services/routing_contract.py; tests/test_routing_contract.py; scripts/regression_probe.py,,
V12-24,27,no,todo,,,partial,1.5d,"The query defect under a fixed symptom, and a referent that over-matches",BUG-443 CAVEAT-419,"BUG-443's residual is the real defect beneath a fixed symptom: the generated SPARQL returned sensor COUNTS for a readings question, so the stuffy question now declines honestly instead of answering - the guard works and the query is still wrong. CAVEAT-419's honest residual: a FLOOR referent still draws fire exits whose labels merely carry 'Floor 1 North'.","The stuffy question answers from readings rather than declining; a floor referent no longer matches a label that only contains a floor name. Both proved by asking, not by the suite - the suite passed throughout both defects.",orchestrator/agents/sparql_agent.py; orchestrator/services/referent_resolver.py,,
V12-27,28,no,todo,,,no,1d,"A fresh clone starts: settings, deadlines and deployment truth",TODO-494 CAVEAT-185 W3-5 CAVEAT-501 BUG-507,TODO-494: 79 settings the code reads are absent from .env.example. CAVEAT-185: a model needing more than the workflow deadline cannot serve this pipeline and nothing says so - that produced eight empty plan hashes at exactly 120.0s during the benchmark. MySQL is an undocumented host prerequisite. This is the packaging half of W3-5; the scaffolding half stays deferred.,Every setting Settings reads appears in .env.example with a stated default; the derived WORKFLOW_TIMEOUT_S rule is documented where the value is chosen; host prerequisites are named; the guard that caught WORKFLOW_TIMEOUT_S is pointed at the whole set.,.env.example; shared/config.py; README.md; tests/test_env_example_is_complete.py,,"CAVEAT-501 (P1) landed here 2026-09-09: nothing under tasks/ is in git, so the plan and the defect log have no history. Consider promoting this row to gate_a=yes -- Gate A requires publishing the evaluated cases, rubric and limitation register."
V12-28,29,no,todo,,,partial,2d,Deterministic aggregates for the common analytics questions,CAVEAT-467 V11-10,"CAVEAT-467 is MITIGATED, not fixed, and its own row says so: three runs at 61/67/59s against 63/87/109s and one 420s timeout before. Every analytics question is LLM-writes-Python then sandbox then LLM-narrates, while config/recipes.yaml already holds 41 recipes including co2_average - injected into the code prompt as TEXT while the model still writes the loop.","Average, minimum and maximum grouped by floor or room is recognised and computed directly, off the LLM path; the deterministic and LLM paths agree on a fixture before the deterministic one is preferred. Latency only - not a Gate A blocker, and ranked accordingly.",orchestrator/agents/analytics_agent.py; config/recipes.yaml,,
V12-30,30,no,todo,,,yes,1.5d,"Second-building readiness, and the intervention log that justifies scaffolding",REV-T10 TODO-072 TODO-339,"Review T10, and the reason W3-2/W3-3 stay deferred: the review says to defer generalised scaffolding until a manual second onboarding has shown which work actually repeats. So the onboarding RUN happens and the scaffolder still does not get built. TODO-072's cold GUI-only onboarding is FIXED_UNVERIFIED with 18 offline tests and no cold live run - this IS its verification, not a separate one. bldg4 (TODO-339) exists as a GUI upload test, not a building to serve.",A second building is onboarded manually on the current revision with an intervention log recording every manual step. Gate C evidence exists BEFORE any generalised scaffolding is prioritised.,scripts/onboard_building.py; docs/V12_INTERVENTION_LOG.md,,
V12-31,31,no,todo,,,yes,1d,The three fault classes still not detected,BUG-360,"BUG-360, after both data causes were removed (narrow tables now receive rows for all 1,528 registered points every 30s, and the 8-day hole is gone): spike 2/2 and drift_vs_peers 2/2, but dropout 0/2, stuck 0/2 and seasonal_residual 0/1. The detector, not the data, is now the constraint.",Each of the three either detects on injected data or is written into the V12-26 scope document as unsupported. Silence is not an acceptable third option.,orchestrator/services/anomaly/,,
